C10059090	华为游戏中心	华为游戏中心是华为公司提供的安卓游戏下载平台，所有游戏都经过专业的测评团队层层检测，为您推荐最安全质量最高的游戏内容， 目前我们有20万游戏聚众平台，个性化专题定制，和丰富多元的游戏礼包，还有游戏论坛供大家互动，华为游戏中心不单服务所有华为用户，还支持国内主流安卓机型。 新版本特性： 1、游戏动态： 一大波好游戏在此发布有奖活动、动态及攻略	http://appstore.huawei.com:80/images/app_defult.png	C183901:WiFi信号增强…,C10138048:消灭星星2-粉碎…,C10237646:3D暴力飙车,C54626:铃声多多,C10191116:图片合成器,C10114178:流量宝,C10113531:保卫萝卜2,C10134672:开心消消乐,C20252:京东,C174391:百度云,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C27162	华为应用市场	【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持	http://appstore.huawei.com:80/images/app_defult.png	C20252:京东,C183901:WiFi信号增强…,C10067631:华为手机服务,C6014423:Google 键盘,C10047107:滴滴出行,C54626:铃声多多,C10055832:文件管理,C9319:QQ,C32569:优酷,C77434:违章查询助手,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C10055832	文件管理	大众点评:【新用户福利】第一单免费吃喝玩乐，好东西只送不卖！ 【活动预告】 -1月25日-31日，功夫熊猫3倾情上映，集齐熊猫贴纸，免费看电影！ -2月1日-14日，大咖发红包，豪发6亿红包，最高2016元！ -2月14日-2月18日，情人节电影专场9.9两张电影票！ -2月14日-2月28日，女医明妃传，摇一摇送大红包！ -2月2	http://appstore.huawei.com:80/images/app_defult.png	C54626:铃声多多,C174391:百度云,C10067631:华为手机服务,C10057661:Google Play …,C183901:WiFi信号增强…,C10047107:滴滴出行,C10114178:流量宝,C10017070:高铁管家,C10100910:清理精灵,C62612:鲁大师,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C5373	支付宝	集五福，平分超2亿现金！  支付宝9.0是支付宝十一年来最大的一次蜕变，除了继续内置风靡全国的“余额宝”，还信用卡、转账、充话费、缴水电煤全部免费，新支付宝还提供了以你为中心的餐饮、生活服务、理财保险、场景关系等一系列全新服务 。在这里你可以享受消费打折、为家人建立亲情账户，跟好友建群互动......这将是一个3.5亿实名用户共同生活其中的一站式	http://appstore.huawei.com:80/images/app_defult.png	C34075:手机淘宝,C3382:百度地图,C10047107:滴滴出行,C10099655:铁路12306,C174391:百度云,C20252:京东,C55726:明星同款-一闪…,C183901:WiFi信号增强…,C20911:高德地图,C3466:酷狗音乐,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C5206:美团,C57804:天猫,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C57236	今日头条	腾讯视频，月度用户覆盖量全国第一的海量高清视频平台。 2016年腾讯视频内容巨幕打开，盗墓题材开山鼻祖《鬼吹灯》、热门IP《九州•天空城》、《少年股神》、《重生名流巨星》、《诛仙•特别篇》、《锦绣未央》等顶级大剧独家揽入；NBA赛事独家全网高清直播；HBO独家官方授权播放平台，《权力的游戏》、《六尺之下》、《CSI》等独家引进；TVB口碑大剧《使徒行者	http://appstore.huawei.com:80/images/app_defult.png	C4543:和讯财经,C43442:新浪新闻,C19168:凤凰新闻,C32840:掌阅iReader,C20252:京东,C183901:WiFi信号增强…,C2022:搜狐新闻,C3674:凤凰视频,C55726:明星同款-一闪…,C10191116:图片合成器,C2022:搜狐新闻,C9147:网易新闻,C57236:今日头条,C104688:腾讯新闻,C179773:爱读掌阅,C149006:塔读文学,C28837:ZAKER,C86189:爱动漫,C10084466:咪咕阅读,C6092:书旗小说,
C20911	高德地图	余姚论坛是余姚地区最大的综合性论坛，主要涵盖民生、文化、美食、亲子、交友、旅游、生活、休闲等领域，以本地化内容和交互为核心，打造余姚地区第一人气论坛，为余姚本地网友提供最及时最全面的生活信息。余姚论坛，精彩走着瞧！	http://appstore.huawei.com:80/images/app_defult.png	C183901:WiFi信号增强…,C10017070:高铁管家,C10099655:铁路12306,C31346:手机百度,C20252:京东,C107870:e代驾,C9319:QQ,C10099610:博雅中国象棋,C3382:百度地图,C34075:手机淘宝,C3382:百度地图,C20911:高德地图,C262:去哪儿旅行,C5157:携程旅行,C5745:天翼导航,C3403:高德导航,C39196:艺龙旅行,C10067576:116114,C12192:同程旅游,C10043914:和地图,
C10608	大众点评	余姚论坛是余姚地区最大的综合性论坛，主要涵盖民生、文化、美食、亲子、交友、旅游、生活、休闲等领域，以本地化内容和交互为核心，打造余姚地区第一人气论坛，为余姚本地网友提供最及时最全面的生活信息。余姚论坛，精彩走着瞧！	http://appstore.huawei.com:80/images/app_defult.png	C10047107:滴滴出行,C34075:手机淘宝,C20252:京东,C32840:掌阅iReader,C5373:支付宝,C6000474:无线城市,C5206:美团,C6015363:肯德基,C165979:雅漾EAU T…,C3382:百度地图,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C5206:美团,C57804:天猫,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C21976	UC浏览器	★用户量过3亿的新闻阅读客户端   ★占领AppStore新闻类榜首24个月   ★每天用户总在线时长超过7.2亿分钟   ★每天社交平台分享量达1000万次   ★5秒钟掌握你的新闻阅读兴趣点     你关心的，才是头条！《今日头条》会聪明地分析你的兴趣爱好，理解你的阅读行为，为你推荐	http://appstore.huawei.com:80/images/app_defult.png	C183901:WiFi信号增强…,C10237646:3D暴力飙车,C10212671:阿达脑训练,C174391:百度云,C10059250:神庙逃亡2,C34075:手机淘宝,C5683:微信,C3382:百度地图,C20252:京东,C10057661:Google Play …,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C10049053	华为商城	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活	http://appstore.huawei.com:80/images/app_defult.png	C20252:京东,C5373:支付宝,C5683:微信,C34075:手机淘宝,C5206:美团,C2060:导航犬,C10017070:高铁管家,C57804:天猫,C3466:酷狗音乐,C10047107:滴滴出行,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C5206:美团,C57804:天猫,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C10067631	华为手机服务	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活	http://appstore.huawei.com:80/images/app_defult.png	C9319:QQ,C5683:微信,C183901:WiFi信号增强…,C10220136:QQ音乐,C3466:酷狗音乐,C174391:百度云,C10207207:华为云服务,C31346:手机百度,C2682:搜狗输入法,C10047107:滴滴出行,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
